"pear_id","tree_id","ecotr_id","species","climate","time","quality"
1,1,1,"Conference","Scenario 1",5,3.693859920748
2,1,1,"Conference","Scenario 1",5,4.09453962439424
3,1,1,"Conference","Scenario 1",5,3.51464904880419
4,1,1,"Conference","Scenario 1",5,3.55667159443522
5,1,1,"Conference","Scenario 1",5,4.0196083666123
6,1,1,"Conference","Scenario 1",5,4.07480906618613
7,1,1,"Conference","Scenario 1",5,4.05100175880492
8,1,1,"Conference","Scenario 1",5,4.11622462335232
9,1,1,"Conference","Scenario 1",5,3.54514020148667
10,1,1,"Conference","Scenario 1",5,3.93390652998546
11,1,1,"Conference","Scenario 1",5,3.98479031691725
12,1,1,"Conference","Scenario 1",5,4.21048075382252
13,1,1,"Conference","Scenario 1",5,3.90124414840506
14,1,1,"Conference","Scenario 1",5,2.75290924189576
15,1,1,"Conference","Scenario 1",5,3.72434903115488
16,1,1,"Conference","Scenario 1",5,3.87657556527161
17,1,1,"Conference","Scenario 1",5,3.90730063773078
18,1,1,"Conference","Scenario 1",5,4.38229895414623
19,1,1,"Conference","Scenario 1",5,4.40699478154842
20,1,1,"Conference","Scenario 1",5,4.02347727740756
21,1,1,"Conference","Scenario 1",5,3.61888255072824
22,1,1,"Conference","Scenario 1",5,4.39133628723789
23,1,1,"Conference","Scenario 1",5,3.93375271177116
24,1,1,"Conference","Scenario 1",5,3.60744058999344
25,2,1,"Doyenne","Scenario 1",5,3.54825268136904
26,2,1,"Doyenne","Scenario 1",5,3.19746302928624
27,2,1,"Doyenne","Scenario 1",5,3.08927756533742
28,2,1,"Doyenne","Scenario 1",5,2.89143033872198
29,2,1,"Doyenne","Scenario 1",5,2.94500808643362
30,2,1,"Doyenne","Scenario 1",5,3.57979648787106
31,2,1,"Doyenne","Scenario 1",5,3.23864469571188
32,2,1,"Doyenne","Scenario 1",5,3.14286633618185
33,2,1,"Doyenne","Scenario 1",5,3.34213147459904
34,2,1,"Doyenne","Scenario 1",5,3.18758069861635
35,2,1,"Doyenne","Scenario 1",5,2.79309729731766
36,2,1,"Doyenne","Scenario 1",5,3.65670860410106
37,2,1,"Doyenne","Scenario 1",5,3.39620541606996
38,2,1,"Doyenne","Scenario 1",5,2.89372160616034
39,2,1,"Doyenne","Scenario 1",5,2.93266446255501
40,2,1,"Doyenne","Scenario 1",5,3.42486373308115
41,2,1,"Doyenne","Scenario 1",5,3.17575716131571
42,2,1,"Doyenne","Scenario 1",5,3.01642464395717
43,2,1,"Doyenne","Scenario 1",5,3.33620990448428
44,2,1,"Doyenne","Scenario 1",5,3.21236910008218
45,2,1,"Doyenne","Scenario 1",5,3.02488142268087
46,2,1,"Doyenne","Scenario 1",5,3.65350693070542
47,2,1,"Doyenne","Scenario 1",5,3.33439349208203
48,2,1,"Doyenne","Scenario 1",5,3.00424709678521
49,2,1,"Doyenne","Scenario 1",5,2.92441822254326
50,3,2,"Conference","Scenario 2",5,4.39648633177912
51,3,2,"Conference","Scenario 2",5,4.40908613389273
52,3,2,"Conference","Scenario 2",5,4.23756061868495
53,3,2,"Conference","Scenario 2",5,3.69042579411071
54,3,2,"Conference","Scenario 2",5,4.89950803171341
55,3,2,"Conference","Scenario 2",5,4.09909083940835
56,3,2,"Conference","Scenario 2",5,4.03459755113852
57,3,2,"Conference","Scenario 2",5,4.10185696252803
58,3,2,"Conference","Scenario 2",5,4.34525998356887
59,3,2,"Conference","Scenario 2",5,4.43398094765838
60,3,2,"Conference","Scenario 2",5,3.63540441940459
61,3,2,"Conference","Scenario 2",5,4.00384985203017
62,3,2,"Conference","Scenario 2",5,4.37187381135515
63,3,2,"Conference","Scenario 2",5,4.70944944341763
64,3,2,"Conference","Scenario 2",5,4.10952909099738
65,3,2,"Conference","Scenario 2",5,3.70218499962033
66,3,2,"Conference","Scenario 2",5,4.27616547327282
67,3,2,"Conference","Scenario 2",5,3.8390178790814
68,3,2,"Conference","Scenario 2",5,3.66670831318816
69,3,2,"Conference","Scenario 2",5,4.31689896837087
70,3,2,"Conference","Scenario 2",5,4.54967132292539
71,4,2,"Doyenne","Scenario 2",5,3.8863279432149
72,4,2,"Doyenne","Scenario 2",5,3.70940970312784
73,4,2,"Doyenne","Scenario 2",5,4.02788831884315
74,4,2,"Doyenne","Scenario 2",5,3.29504153350701
75,4,2,"Doyenne","Scenario 2",5,3.59984423083323
76,4,2,"Doyenne","Scenario 2",5,3.1356573272107
77,4,2,"Doyenne","Scenario 2",5,3.57546673212356
78,4,2,"Doyenne","Scenario 2",5,4.00678217127542
79,4,2,"Doyenne","Scenario 2",5,3.41393227278206
80,4,2,"Doyenne","Scenario 2",5,3.13817849565909
81,4,2,"Doyenne","Scenario 2",5,3.28449286287742
82,4,2,"Doyenne","Scenario 2",5,3.43550625167775
83,4,2,"Doyenne","Scenario 2",5,3.43165376733388
84,4,2,"Doyenne","Scenario 2",5,3.59565473054509
85,4,2,"Doyenne","Scenario 2",5,3.40807451359344
86,4,2,"Doyenne","Scenario 2",5,3.24979355969169
87,4,2,"Doyenne","Scenario 2",5,3.32463609193052
88,4,2,"Doyenne","Scenario 2",5,3.62867524230981
89,4,2,"Doyenne","Scenario 2",5,3.19680955815652
90,4,2,"Doyenne","Scenario 2",5,3.22741319711229
91,4,2,"Doyenne","Scenario 2",5,3.91170973946558
92,4,2,"Doyenne","Scenario 2",5,3.82588208037384
93,5,3,"Conference","Scenario 3",5,3.63452820564512
94,5,3,"Conference","Scenario 3",5,4.07759750320776
95,5,3,"Conference","Scenario 3",5,3.6118444693076
96,5,3,"Conference","Scenario 3",5,3.82694891758367
97,5,3,"Conference","Scenario 3",5,3.81783983975925
98,5,3,"Conference","Scenario 3",5,3.59483671322041
99,5,3,"Conference","Scenario 3",5,4.58115146261579
100,5,3,"Conference","Scenario 3",5,3.98210578103464
101,5,3,"Conference","Scenario 3",5,4.68885462304148
102,5,3,"Conference","Scenario 3",5,4.17730770622473
103,5,3,"Conference","Scenario 3",5,4.04531062871478
104,5,3,"Conference","Scenario 3",5,4.21888268429494
105,5,3,"Conference","Scenario 3",5,4.13706878558222
106,5,3,"Conference","Scenario 3",5,3.51290813462578
107,5,3,"Conference","Scenario 3",5,3.99937227670415
108,5,3,"Conference","Scenario 3",5,4.12093143010021
109,5,3,"Conference","Scenario 3",5,3.60876320643594
110,5,3,"Conference","Scenario 3",5,4.35924327956965
111,5,3,"Conference","Scenario 3",5,3.65616302103193
112,5,3,"Conference","Scenario 3",5,4.39591426197703
113,5,3,"Conference","Scenario 3",5,4.28531445800489
114,5,3,"Conference","Scenario 3",5,3.92125042118714
115,5,3,"Conference","Scenario 3",5,3.40618218282991
116,5,3,"Conference","Scenario 3",5,4.16146669276375
117,5,3,"Conference","Scenario 3",5,3.90898399749581
118,5,3,"Conference","Scenario 3",5,3.7868504854816
119,5,3,"Conference","Scenario 3",5,4.15407666078326
120,5,3,"Conference","Scenario 3",5,4.08001663298696
121,6,3,"Doyenne","Scenario 3",5,3.2411984548178
122,6,3,"Doyenne","Scenario 3",5,2.85648674050908
123,6,3,"Doyenne","Scenario 3",5,3.24866729849076
124,6,3,"Doyenne","Scenario 3",5,2.91731594629823
125,6,3,"Doyenne","Scenario 3",5,3.102858868201
126,6,3,"Doyenne","Scenario 3",5,3.66569652849502
127,6,3,"Doyenne","Scenario 3",5,3.80228117873547
128,6,3,"Doyenne","Scenario 3",5,3.61356470569773
129,6,3,"Doyenne","Scenario 3",5,3.25714401511487
130,6,3,"Doyenne","Scenario 3",5,3.70490558026242
131,6,3,"Doyenne","Scenario 3",5,3.70032459850762
132,6,3,"Doyenne","Scenario 3",5,3.50008809457967
