"ID","location","ecotr_id","tree_id","pear_id","species","climate","quality_idx"
"BE_1_1_1","BE",1,1,1,"Conference","Scenario 1",82
"BE_1_1_2","BE",1,1,2,"Conference","Scenario 1",39
"BE_1_1_3","BE",1,1,3,"Conference","Scenario 1",46
"BE_1_1_4","BE",1,1,4,"Conference","Scenario 1",42
"BE_1_1_5","BE",1,1,5,"Conference","Scenario 1",90
"BE_1_1_6","BE",1,1,6,"Conference","Scenario 1",44
"BE_1_1_7","BE",1,1,7,"Conference","Scenario 1",14
"BE_1_1_8","BE",1,1,8,"Conference","Scenario 1",27
"BE_1_1_9","BE",1,1,9,"Conference","Scenario 1",98
"BE_1_1_10","BE",1,1,10,"Conference","Scenario 1",38
"BE_1_1_11","BE",1,1,11,"Conference","Scenario 1",61
"BE_1_1_12","BE",1,1,12,"Conference","Scenario 1",34
"BE_1_1_13","BE",1,1,13,"Conference","Scenario 1",28
"BE_1_1_14","BE",1,1,14,"Conference","Scenario 1",37
"BE_1_1_15","BE",1,1,15,"Conference","Scenario 1",90
"BE_1_1_16","BE",1,1,16,"Conference","Scenario 1",60
"BE_1_1_17","BE",1,1,17,"Conference","Scenario 1",52
"BE_1_1_18","BE",1,1,18,"Conference","Scenario 1",44
"BE_1_1_19","BE",1,1,19,"Conference","Scenario 1",64
"BE_1_1_20","BE",1,1,20,"Conference","Scenario 1",0
"BE_1_1_21","BE",1,1,21,"Conference","Scenario 1",25
"BE_1_1_22","BE",1,1,22,"Conference","Scenario 1",63
"BE_1_1_23","BE",1,1,23,"Conference","Scenario 1",67
"BE_1_2_24","BE",1,2,24,"Doyenne","Scenario 1",48
"BE_1_2_25","BE",1,2,25,"Doyenne","Scenario 1",10
"BE_1_2_26","BE",1,2,26,"Doyenne","Scenario 1",22
"BE_1_2_27","BE",1,2,27,"Doyenne","Scenario 1",44
"BE_1_2_28","BE",1,2,28,"Doyenne","Scenario 1",84
"BE_1_2_29","BE",1,2,29,"Doyenne","Scenario 1",77
"BE_1_2_30","BE",1,2,30,"Doyenne","Scenario 1",23
"BE_1_2_31","BE",1,2,31,"Doyenne","Scenario 1",14
"BE_1_2_32","BE",1,2,32,"Doyenne","Scenario 1",56
"BE_1_2_33","BE",1,2,33,"Doyenne","Scenario 1",77
