species,climate,time,n_observed,n_scheduled,mean_size,retained_fraction
Conference,Scenario 1,5,24,24,3.888426815951677,1.0
Conference,Scenario 1,6,24,24,4.351233276508018,1.0
Conference,Scenario 1,7,24,24,4.623250439038899,1.0
Conference,Scenario 1,8,24,24,4.951136517294468,1.0
Conference,Scenario 1,9,23,24,5.380734223450266,0.9583333333333334
Conference,Scenario 1,10,23,24,5.6205085466464775,0.9583333333333334
Conference,Scenario 1,11,23,24,5.832061394543709,0.9583333333333334
Conference,Scenario 1,12,23,24,6.129290411183411,0.9583333333333334
Conference,Scenario 1,13,23,24,6.488943772522149,0.9583333333333334
Conference,Scenario 1,14,23,24,6.788033757460789,0.9583333333333334
Conference,Scenario 1,15,23,24,7.052196090350393,0.9583333333333334
Conference,Scenario 1,16,23,24,7.354557033173627,0.9583333333333334
Conference,Scenario 1,17,23,24,7.640182387424716,0.9583333333333334
Conference,Scenario 1,18,23,24,7.985739592354317,0.9583333333333334
Conference,Scenario 1,19,23,24,8.294028140062585,0.9583333333333334
Conference,Scenario 1,20,23,24,8.537203239000382,0.9583333333333334
Conference,Scenario 1,21,23,24,8.803175822257984,0.9583333333333334
Conference,Scenario 1,22,23,24,9.196604524030375,0.9583333333333334
Conference,Scenario 1,23,22,24,9.477125577051325,0.9166666666666666
Conference,Scenario 1,24,22,24,9.648920532384913,0.9166666666666666
Conference,Scenario 2,5,21,21,4.1823146080069975,1.0
Conference,Scenario 2,6,21,21,4.632497239955364,1.0
Conference,Scenario 2,7,21,21,4.971929451175408,1.0
Conference,Scenario 2,8,21,21,5.370631200804918,1.0
Conference,Scenario 2,9,21,21,5.642613628860961,1.0
Conference,Scenario 2,10,21,21,5.978317238178346,1.0
Conference,Scenario 2,11,21,21,6.3182577710873415,1.0
Conference,Scenario 2,12,21,21,6.677447744083828,1.0
Conference,Scenario 2,13,21,21,7.046450517567278,1.0
Conference,Scenario 2,14,21,21,7.3961518253392535,1.0
Conference,Scenario 2,15,21,21,7.738816841782481,1.0
Conference,Scenario 2,16,21,21,8.124996034821079,1.0
Conference,Scenario 2,17,21,21,8.494201182905922,1.0
Conference,Scenario 2,18,21,21,8.847925264165985,1.0
Conference,Scenario 2,19,21,21,9.23860406203482,1.0
Conference,Scenario 2,20,21,21,9.566839458099498,1.0
Conference,Scenario 2,21,21,21,9.832215632882702,1.0
Conference,Scenario 2,22,21,21,10.259991122688021,1.0
Conference,Scenario 2,23,21,21,10.519803067273205,1.0
Conference,Scenario 2,24,21,21,10.855432234242139,1.0
Conference,Scenario 3,5,28,28,3.991132659364657,1.0
Conference,Scenario 3,6,28,28,4.332858261169867,1.0
Conference,Scenario 3,7,28,28,4.636402755359017,1.0
Conference,Scenario 3,8,28,28,4.909544862049601,1.0
Conference,Scenario 3,9,27,28,5.231108401170763,0.9642857142857143
Conference,Scenario 3,10,27,28,5.520593944413456,0.9642857142857143
Conference,Scenario 3,11,27,28,5.9083285636586345,0.9642857142857143
Conference,Scenario 3,12,27,28,6.2593673575262585,0.9642857142857143
Conference,Scenario 3,13,27,28,6.4904003190790185,0.9642857142857143
Conference,Scenario 3,14,27,28,6.900564293880674,0.9642857142857143
Conference,Scenario 3,15,27,28,7.213495038652298,0.9642857142857143
Conference,Scenario 3,16,27,28,7.471845587635709,0.9642857142857143
Conference,Scenario 3,17,27,28,7.822043352646151,0.9642857142857143
Conference,Scenario 3,18,27,28,8.07628121482979,0.9642857142857143
Conference,Scenario 3,19,27,28,8.379009086989221,0.9642857142857143
Conference,Scenario 3,20,27,28,8.685764285134514,0.9642857142857143
Conference,Scenario 3,21,27,28,8.953846537710522,0.9642857142857143
Conference,Scenario 3,22,27,28,9.234314979483175,0.9642857142857143
Conference,Scenario 3,23,27,28,9.520980065960545,0.9642857142857143
Conference,Scenario 3,24,27,28,9.793451762786615,0.9642857142857143
Conference,Scenario 4,5,28,28,3.8482388428442995,1.0
Conference,Scenario 4,6,28,28,4.197803763950526,1.0
Conference,Scenario 4,7,28,28,4.427462473212491,1.0
Conference,Scenario 4,8,26,28,4.744795535740648,0.9285714285714286
Conference,Scenario 4,9,26,28,5.033933181728303,0.9285714285714286
Conference,Scenario 4,10,25,28,5.35186008355129,0.8928571428571429
Conference,Scenario 4,11,24,28,5.615546164471657,0.8571428571428571
Conference,Scenario 4,12,24,28,5.935243866112824,0.8571428571428571
Conference,Scenario 4,13,24,28,6.165021911801005,0.8571428571428571
Conference,Scenario 4,14,24,28,6.392731663582496,0.8571428571428571
Conference,Scenario 4,15,24,28,6.729719021574035,0.8571428571428571
Conference,Scenario 4,16,24,28,7.043475525230655,0.8571428571428571
Conference,Scenario 4,17,24,28,7.36083289727375,0.8571428571428571
Conference,Scenario 4,18,24,28,7.649992688853527,0.8571428571428571
Conference,Scenario 4,19,24,28,7.913892079294604,0.8571428571428571
Conference,Scenario 4,20,24,28,8.1718923084027,0.8571428571428571
Conference,Scenario 4,21,24,28,8.421277744839001,0.8571428571428571
Conference,Scenario 4,22,24,28,8.621605329589675,0.8571428571428571
Conference,Scenario 4,23,24,28,8.866038552837994,0.8571428571428571
Conference,Scenario 4,24,24,28,9.140592042144629,0.8571428571428571
Doyenne,Scenario 1,5,25,25,3.1976768195219916,1.0
Doyenne,Scenario 1,6,25,25,3.550833101714376,1.0
Doyenne,Scenario 1,7,25,25,3.894358453636913,1.0
Doyenne,Scenario 1,8,25,25,4.063658907952317,1.0
Doyenne,Scenario 1,9,25,25,4.312775929339252,1.0
Doyenne,Scenario 1,10,25,25,4.558453899201766,1.0
Doyenne,Scenario 1,11,25,25,4.835490558108279,1.0
Doyenne,Scenario 1,12,25,25,5.019649420379478,1.0
Doyenne,Scenario 1,13,25,25,5.275655312432119,1.0
Doyenne,Scenario 1,14,25,25,5.503579215964424,1.0
Doyenne,Scenario 1,15,22,25,5.828405089237751,0.88
Doyenne,Scenario 1,16,22,25,6.025940688458308,0.88
Doyenne,Scenario 1,17,22,25,6.284740884091996,0.88
Doyenne,Scenario 1,18,22,25,6.465155144537294,0.88
Doyenne,Scenario 1,19,22,25,6.680454422718339,0.88
Doyenne,Scenario 1,20,22,25,6.978925240714705,0.88
Doyenne,Scenario 1,21,22,25,7.2695167944529056,0.88
Doyenne,Scenario 1,22,21,25,7.528628540437206,0.84
Doyenne,Scenario 1,23,21,25,7.771870818953578,0.84
Doyenne,Scenario 1,24,21,25,8.022885772866127,0.84
Doyenne,Scenario 2,5,22,22,3.514037741983854,1.0
Doyenne,Scenario 2,6,22,22,3.8469733417908647,1.0
Doyenne,Scenario 2,7,22,22,4.220509136364872,1.0
Doyenne,Scenario 2,8,22,22,4.455109632981333,1.0
Doyenne,Scenario 2,9,21,22,4.792338147158902,0.9545454545454546
