feature,LD1,LD2,LD3
Bulk Density,2.9503038996914674,-1.3768464940066638,-0.8163592955232837
Infiltration,1.488679500854157,-0.13666087511815983,-0.2699828429473079
Soil Porosity,1.7687672929896443,-0.5976691620982526,-0.5693037900295426
Soil Depth,-2.000912593601174,0.9772252394085372,0.05689836496297615
Water Holding Capacity,-1.1432401143853934,0.23226457552211444,0.9426582571455399
Soil Nitrate,0.06372764722111518,-0.2757392965385572,0.4099270248583542
Soil pH,0.3580789248599291,-0.3842676987515081,-0.5193773271283746
Phosphorus,0.22095831201755778,0.2021818003375665,-1.153909558546017
Potassium,-0.2153592949781895,0.12966814763731033,-0.44546768333675046
Earthworms,0.19986939869653247,0.48922755784472904,-0.7033572094668818
Microbial Biomass C,-0.5555160964932476,0.11658028293954659,-0.03736346864481463
Microbial Biomass N,0.20786665678914207,-0.6584881066883186,-0.5161214281198556
Particulate Organic Matter,0.2263098813605638,0.03270198675044793,-0.013166385788927037
Mineralizable N,-0.16075317560132968,-0.21084021126276398,0.6848036697724899
Soil Enzymes,-0.22205546850100116,0.16681776746092064,0.6054539168897486
Soil Respiration,-0.6559690024314354,0.0628288261272365,-0.07463533980746459
Total Organic Carbon,1.1545689797942462,0.6082116051454983,0.41732342383136856
pears,0.06188348484603157,0.6360411203478232,0.5640217209716574
