feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Bulk Density,-0.0009535110699791636,-0.308271616947012,0.035221020081665416,-0.597563202465998,-0.19431488579463843,0.055769225409600776,-0.03691504428095056,0.12175141316723838,0.004628218732804958,0.14225864532353522,0.02517128132098751,-0.17069552450408154,0.11042702281255262,0.1183530663212556,-0.10134302068290163,0.17840357068734577,-0.609312297381926
Infiltration,0.1258721417450215,0.16553041053815767,0.48067699094656813,0.2571868400459772,0.04800594130184932,-0.2353327771206749,0.09450388009057323,0.10023139208045381,-0.01722225253246578,-0.08780585598502831,0.14543014450259611,0.2045470613151797,-0.2072872417018773,0.05492946026408487,-0.2056927718156959,0.6140490102494378,-0.21575493971182222
Soil Porosity,0.11778831447336754,0.19641938195584238,0.44547597282631585,0.3414385473853449,0.05173624248124253,0.0743022120381401,0.14968749260665315,-0.02117700132808599,-0.05954335105048536,0.1160474312406922,-0.26948170532061244,-0.31044940034841567,0.2528650253310536,0.07026023087332256,0.12581460952413276,-0.4042976065866916,-0.40901004713933437
Soil Depth,0.1193425965783053,-0.07809619504340891,0.47438449025950863,-0.29341340974129826,-0.20474441533458004,-0.06222484396514189,-0.019896444371065514,-0.018517094357261614,-0.034052448428307514,-0.07293150862551068,0.2633872176694623,0.0828140982304128,-0.5377497139709992,0.029947175512306096,0.2579212140736861,-0.4077870869299703,0.12806433001739947
Water Holding Capacity,0.04794707234741809,-0.1669398732412602,0.514088887178703,-0.2664017662008538,0.012793156875103325,0.025704463277319813,-0.04767809186185331,0.009672540322209261,0.2296576318536028,0.03197044042903082,-0.24484722600410797,0.018393554153966308,0.4499507444439644,0.002965288167477982,-0.20914452851044804,0.08393846707466131,0.5138861157673024
Soil Nitrate,0.23389883780428572,-0.3722700817889034,0.009051266289948585,0.12478465973091113,0.03611713704873505,-0.1784982911337407,-0.2207444071632626,0.17534897491790424,-0.7417357219738078,0.2171273719559808,-0.16651997348691025,-0.0162583845135939,-0.040164170650735714,-0.11848138768189753,-0.1522547964790086,-0.03116838159246008,0.11531840656875825
Soil pH,-0.12833243379689405,0.15332141852568737,0.05962985773241717,-0.15689311946716045,0.30564025778231,-0.350121674524701,-0.6638152849168466,-0.32457523113941583,0.01902316603370375,-0.18704873278514814,-0.25318494279236853,0.11957523209913513,0.005023126245254804,0.00018208287883663112,0.1381989925209144,-0.024067185082288264,-0.19078200734401385
Phosphorus,0.13578490395818799,-0.4147587643068162,0.03769198092464504,0.20702855209857993,0.17757765001399908,0.28598827939802274,-0.03261605039215042,-0.40937462294866517,0.10810904424353597,0.3507556849868097,0.13470518830349767,0.47809958817660064,0.06495891539242257,0.2454085586180133,0.15815169179710764,0.011404006387142286,-0.11069220298819955
Potassium,0.3077901790389158,-0.32746745541542277,-0.13319798339376274,0.04386934927215728,0.036498513384793346,-0.13505800626318262,0.2025846731951922,0.32335613205333136,0.24382637421622186,-0.36853648695017294,-0.5092081388844367,0.21432497783849275,-0.10412358934155042,0.030395210481783185,0.30643183085783876,0.01144940857194175,-0.08304089266302869
Earthworms,0.018954910167081864,-0.06213452812625042,0.019754299525934108,-0.009635968846013959,0.6713356608678682,0.01393416213489586,-0.16284969840554805,0.5335772254452193,0.24768444159190833,0.22014630803574625,0.276409069603033,-0.17068168313551477,-0.08189293939263577,0.03545731468398665,0.019090771326273664,-0.09565372922606442,0.019040980041135337
Microbial Biomass C,0.4342819007408447,0.18469984347865429,-0.15986925795211218,-0.013358600065421165,-0.06032465371940361,0.09237641759296011,-0.1713217876125918,-0.0996316748216388,0.10953972113241739,0.063580346551824,-0.1906886196103978,-0.2409483342037017,-0.2767842659743106,0.6274723598954259,-0.32067138526861255,0.00038586953899786365,0.1283644648446738
Microbial Biomass N,0.43796072042331574,0.21067711748771079,-0.02770413194622877,-0.08237857590594724,-0.07028447333178874,0.13782573480526103,-0.17413023324128318,0.06546949106644899,-0.18824771243446714,-0.11350431370154059,0.27521974826060264,-0.12515785820297293,0.34157709257312713,0.0696331461334385,0.5866478909738987,0.28324445733369824,0.10986670336860473
