component,eigenvalue,variance_fraction,cumulative_fraction
1,3.3147222271846513,0.19498366042262646,0.19498366042262646
2,2.4927114854223036,0.1466300873777825,0.341613747800409
3,2.4678498412354277,0.14516763771973099,0.48678138552013994
4,1.772495632678982,0.10426444898111654,0.5910458345012565
5,1.4431224330753354,0.0848895548867844,0.6759353893880409
6,1.0842801725637636,0.06378118662139784,0.7397165760094387
7,0.9901313736726639,0.05824302198074491,0.7979595979901837
8,0.7480607030115309,0.04400357076538416,0.8419631687555679
9,0.5374266409781143,0.031613331822242005,0.8735765005778099
10,0.47680549812340545,0.02804738224255325,0.9016238828203631
11,0.3696051066745304,0.02174147686320766,0.9233653596835708
12,0.34032707286752917,0.020019239580442882,0.9433845992640137
13,0.3183063704583124,0.018723904144606604,0.9621085034086203
14,0.2235885286191741,0.013152266389363178,0.9752607697979835
15,0.19856131692143283,0.011680077465966632,0.9869408472639501
16,0.16045065125611407,0.009438273603300825,0.996379120867251
17,0.06155494525673848,0.0036208791327493207,1.0000000000000002
