climate,location,species,size,mean,std,median,min,max
Scenario 1,BE,Conference,117,55.06837606837607,23.8221595244654,58.0,0,98
Scenario 1,BE,Doyenne,106,49.93396226415094,25.797109054688953,50.0,0,100
Scenario 1,FR,Conference,95,51.16842105263158,25.874349670758075,56.0,0,100
Scenario 1,FR,Doyenne,83,46.325301204819276,22.469007616310687,48.0,0,100
Scenario 2,BE,Conference,222,63.409909909909906,21.695725771080546,65.5,13,100
Scenario 2,BE,Doyenne,172,59.91279069767442,23.082067146280682,59.0,0,100
Scenario 2,FR,Conference,133,61.88721804511278,25.171729613746262,62.0,0,100
Scenario 2,FR,Doyenne,119,58.319327731092436,23.439403580769515,59.0,4,100
Scenario 3,BE,Conference,153,63.1764705882353,22.601268492305916,64.0,14,100
Scenario 3,BE,Doyenne,139,56.0431654676259,25.92180842892805,56.0,0,100
Scenario 3,FR,Conference,120,57.38333333333333,24.135187650257976,58.5,0,100
Scenario 3,FR,Doyenne,96,46.9375,24.69213064499444,46.0,0,100
Scenario 4,BE,Conference,126,60.38095238095238,22.18895478128058,59.0,2,100
Scenario 4,BE,Doyenne,108,48.47222222222222,24.919855962340566,49.0,0,100
Scenario 4,FR,Conference,89,50.2247191011236,23.342680772756918,48.0,0,100
Scenario 4,FR,Doyenne,64,43.515625,20.69889360397245,47.0,0,92
