tree_ID,location,ecotr_id,tree_id,species,climate,Bulk Density,Infiltration,Soil Porosity,Soil Depth,Water Holding Capacity,Soil Nitrate,Soil pH,Phosphorus,Potassium,Earthworms,Microbial Biomass C,Microbial Biomass N,Particulate Organic Matter,Mineralizable N,Soil Enzymes,Soil Respiration,Total Organic Carbon,pears
BE_1_1,BE,1,1,Conference,Scenario 1,1.59,8.57,38.48,80.47,32.13,7.41,7.05,6.03,115.23,45.69,198.36,11.85,0.62,3.7,1.95,57.68,2.01,23
BE_1_2,BE,1,2,Doyenne,Scenario 1,1.43,6.95,43.22,72.52,28.0,19.29,6.2,25.43,150.12,46.58,219.6,19.33,2.24,10.85,1.07,58.12,1.43,19
BE_1_3,BE,1,3,Conference,Scenario 1,1.32,9.2,49.09,75.61,28.87,6.3,6.47,28.25,125.14,25.55,132.68,13.15,0.08,12.32,1.34,58.48,1.58,25
BE_1_4,BE,1,4,Doyenne,Scenario 1,0.99,12.58,65.2,73.95,31.01,12.21,6.59,24.4,108.47,43.13,140.68,10.01,3.74,8.46,1.01,40.97,0.85,20
BE_1_5,BE,1,5,Conference,Scenario 1,1.22,12.83,50.08,78.89,28.92,13.59,6.5,16.7,260.33,49.06,257.69,21.56,2.95,13.72,1.38,62.02,2.49,21
BE_1_6,BE,1,6,Doyenne,Scenario 1,1.0,16.6,81.97,83.75,35.95,4.45,6.64,-10.23,125.19,47.03,259.41,17.77,0.96,6.4,1.73,61.32,2.01,14
BE_2_7,BE,2,7,Conference,Scenario 2,1.13,12.67,63.93,78.45,31.41,15.13,6.46,20.47,179.67,51.26,294.74,23.13,-0.06,13.42,1.18,71.23,3.38,45
BE_2_8,BE,2,8,Doyenne,Scenario 2,1.24,13.58,66.68,80.39,38.84,17.65,6.56,31.18,168.21,69.4,100.01,7.79,0.09,10.35,1.94,47.02,2.0,24
BE_2_9,BE,2,9,Conference,Scenario 2,0.91,13.34,66.65,75.93,28.06,-3.04,6.44,21.65,31.63,56.08,179.32,16.55,3.43,4.38,2.15,49.93,1.81,41
BE_2_10,BE,2,10,Doyenne,Scenario 2,1.07,16.12,62.92,78.49,30.42,22.61,5.92,28.27,257.0,54.75,235.1,15.23,2.94,13.73,0.56,61.89,2.55,35
BE_2_11,BE,2,11,Conference,Scenario 2,1.05,20.26,70.21,82.6,34.99,18.46,5.75,41.39,196.99,42.01,226.17,20.05,1.86,13.3,1.2,67.38,3.26,37
BE_2_12,BE,2,12,Doyenne,Scenario 2,1.32,13.15,66.44,81.72,39.01,10.5,6.25,35.24,180.57,44.41,172.06,12.76,1.89,9.05,2.07,58.59,2.73,23
BE_3_13,BE,3,13,Conference,Scenario 3,1.58,5.58,42.36,74.92,31.82,16.84,6.42,27.95,233.89,73.01,277.07,16.75,2.51,5.94,1.46,47.63,2.19,28
BE_3_14,BE,3,14,Doyenne,Scenario 3,1.83,4.22,28.75,76.34,29.28,13.66,6.28,19.8,192.87,67.18,221.29,8.43,1.27,5.6,1.72,48.45,2.57,24
BE_3_15,BE,3,15,Conference,Scenario 3,1.38,13.43,58.06,81.35,36.44,20.77,6.31,48.93,249.41,43.4,225.51,17.78,3.55,12.05,1.92,49.45,2.09,32
BE_3_16,BE,3,16,Doyenne,Scenario 3,1.19,13.38,61.75,82.63,28.29,12.58,6.45,19.37,167.5,59.29,253.1,17.92,2.37,7.82,1.43,68.28,2.63,25
BE_3_17,BE,3,17,Conference,Scenario 3,1.21,12.42,60.31,77.8,33.04,20.28,6.43,35.62,261.63,62.9,310.71,19.41,2.45,11.76,1.35,71.13,2.81,25
BE_3_18,BE,3,18,Doyenne,Scenario 3,1.5,9.9,56.37,82.36,35.0,20.38,6.57,39.65,261.62,51.05,346.74,21.12,3.37,12.43,0.59,66.89,3.15,18
BE_4_19,BE,4,19,Conference,Scenario 4,1.45,14.65,45.94,84.97,38.8,4.51,6.88,16.15,120.47,44.27,245.27,12.99,2.72,9.91,1.11,55.89,1.71,19
